minLon,minYear,ID,maxLon,name,maxYear,minMag,maxMag,missingMagnitudes,minLat,maxLat,missingDepths,magTypes,events
35.4,363,2,36.4,AM06,1759,7.0,7.4,0,31.5,35.5,3,MS,8
30.91,1894,4,35.5,AM93,1986,3.1,6.5,0,34.0,36.7,38,"MS,MB",56
30.007,1939,6,39.986,ANSS,2014,3.0,7.7,0,28.005,39.997,0,"MD,MWW,MC,MB,ML,M,MW,MS",1394
30.002,1963,9,39.981,EHB,2008,4.1,7.2,0,28.308,39.96,0,"MW,MS,MB",272
30.0,1002,0,40.0,EMEC,2006,3.0,7.9,0,28.0,40.0,448,"MD,MW,MS,MB",1843
32.0,1903,5,37.9283,GII,2014,3.0,6.5,0,27.0028,35.9983,0,"MD,MS,MB",1624
30.0,-334,13,40.0,GSHAP_TR,1964,3.5,8.0,0,31.4644,40.0,42,MW,77
30.0,1965,8,39.99,IRIS,2010,3.0,7.1,0,28.0013,40.0,5,"MD,MC,MB,ML,MW,MS",3674
30.021,1905,7,39.999,ISC,2007,5.6,7.8,0,28.754,39.771,0,MW,41
34.2,-2150,3,37.0,KHAIR,1997,3.3,7.9,0,30.8,37.1,57,"MW,MS",61
30.0,1901,10,39.997,KOERI,2014,3.0,7.7,0,29.7388,39.9997,3,"MD,MW,ML,MS,MB",2661
30.0,1963,11,39.929,NCEDC,2014,3.1,7.2,0,28.397,40.0,0,"ML,MW,MS,MB",150
34.3,37,1,38.5,SBEI,1822,6.1,7.5,0,32.5,37.3,1,"MW,MS",17
32.0,1003,12,40.0,SHARE,2006,3.0,7.2,0,34.09,40.0,117,MW,504
